E,F,G,H,I,J,K
34237,1,1,3,3,34,838261
310059,2,1,0,0,79,838262
95977,1,1,3,3,70,838263
56114,1,1,0,0,67,838264
169541,2,1,2,2,25,838265
79269,1,1,2,2,25,838266
362298,2,2,0,0,66,838267
29559,1,1,2,2,49,838268
30933,1,1,3,3,50,838269
305423,1,1,0,0,80,838270
79734,2,1,3,3,85,838271
25351,2,1,0,0,47,838272
25351,2,2,0,0,57,838273
120441,1,1,3,3,61,838274
169909,1,1,2,2,50,838275
298300,2,1,3,3,53,838276
64412,2,1,2,2,47,838277
107577,2,1,3,3,33,838278
291028,1,1,0,0,99,838279
115925,1,1,3,3,37,838280
98648,1,1,3,3,45,838281
167512,2,2,2,2,45,838282
216503,2,2,2,2,25,838283
334027,2,1,3,3,36,838284
452500,1,1,0,0,26,838285
212238,1,1,2,2,25,838286
430722,1,1,2,2,25,838287
18657,2,1,0,0,87,838288
329073,1,1,3,3,28,838289
128190,1,1,3,3,54,838290
20058,1,1,2,2,54,838291
10618,1,1,0,0,25,838292
397536,1,1,3,3,53,838293
57168,2,1,3,3,80,838294
14527,1,1,3,3,62,838295
326271,1,1,3,3,45,838296
287086,2,1,3,3,25,838297
95040,2,1,2,2,65,838298
279190,1,1,3,3,61,838299
408018,1,1,0,0,50,838300
22203,1,1,2,2,63,838301
132184,2,1,0,0,62,838302
310059,1,1,0,0,78,838303
340276,2,1,3,3,37,838304
66636,2,2,2,2,25,838305
459299,2,2,3,3,25,838306
413643,2,1,3,3,26,838307
222618,1,1,3,3,63,838308
164757,1,1,0,0,43,838309
10305,2,2,2,2,53,838310
19409,2,2,3,3,72,838311
10338,2,1,0,0,76,838312
251503,2,1,2,2,84,838313
76056,2,1,2,2,72,838314
76056,1,1,2,2,72,838315
79734,2,1,3,3,82,838316
124978,2,2,3,3,71,838317
124978,2,2,3,3,61,838318
335927,2,1,3,3,61,838319
10338,1,1,0,0,83,838320
274946,2,2,0,0,34,838321
354695,2,2,0,0,38,838322
305894,0,0,3,3,47,838323
129199,1,1,3,3,54,838324
94903,2,2,2,2,70,838325
42470,1,1,0,0,32,838326
8643,1,1,2,2,44,838327
46419,2,1,2,2,32,838328
230453,2,1,2,2,42,838329
326031,2,1,2,2,44,838330
28188,1,1,2,2,40,838331
355483,2,2,2,2,44,838332
263913,2,2,2,2,56,838333
125471,1,1,0,0,54,838334
34624,2,1,0,0,63,838335
254958,1,1,2,2,47,838336
28170,2,1,2,2,50,838337
418044,1,1,2,2,41,838338
270727,2,2,0,0,98,838339
333015,2,1,2,2,36,838340
333015,1,1,1,1,33,838341
270727,2,2,0,0,89,838342
27315,2,1,0,0,59,838343
101142,2,1,0,0,49,838344
168164,1,1,0,0,76,838345
14063,2,1,2,2,37,838346
7415,1,1,0,0,49,838347
242145,2,1,3,3,32,838348
153485,1,1,3,3,52,838349
336730,1,1,2,2,57,838350
126284,1,1,2,2,57,838351
273620,2,1,2,2,74,838352
79974,2,1,3,3,32,838353
423902,2,2,0,0,40,838354
454968,2,2,0,0,56,838355
25709,2,2,2,2,55,838356
131758,1,1,2,2,66,838357
131758,2,1,2,2,69,838358
24611,1,1,2,2,46,838359
24611,1,1,2,2,47,838360
75426,1,1,3,3,41,838361
182402,1,1,2,2,49,838362
354030,2,1,0,0,42,838363
104229,2,1,3,3,25,838364
260582,1,1,0,0,70,838365
224858,1,1,2,2,65,838366
224858,2,2,2,2,67,838367
339686,1,1,0,0,30,838368
18506,1,1,3,3,28,838369
57222,2,1,3,3,42,838370
315115,2,2,3,3,48,838371
116634,2,1,2,2,29,838372
161804,2,1,2,2,46,838373
171731,2,2,2,2,25,838374
22814,1,1,3,3,41,838375
22814,1,1,0,0,41,838376
314280,1,1,2,2,52,838377
135258,1,1,2,2,43,838378
28046,2,2,2,2,58,838379
71428,1,1,2,2,57,838380
352325,2,1,3,3,91,838381
224334,2,1,2,2,35,838382
155079,2,1,2,2,34,838383
243555,1,1,3,3,52,838384
39877,1,1,2,2,34,838385
29969,1,1,3,3,61,838386
278414,2,2,0,0,28,838387
139726,1,1,0,0,66,838388
68646,1,1,2,2,42,838389
201013,1,1,3,3,25,838390
304899,1,1,3,3,67,838391
300636,1,1,0,0,96,838392
299038,1,1,0,0,42,838393
30020,1,1,2,2,48,838394
81384,2,1,3,3,60,838395
218528,2,1,2,2,59,838396
22955,1,1,0,0,67,838397
432492,2,1,0,0,59,838398
42236,1,1,0,0,48,838399
252605,2,2,2,2,51,838400
382086,1,1,2,2,71,838401
426449,1,1,2,2,25,838402
242133,1,1,0,0,30,838403
453349,1,1,0,0,42,838404
65444,1,1,2,2,30,838405
25085,2,1,3,3,69,838406
39636,1,1,2,2,52,838407
61722,2,2,2,2,51,838408
380764,1,1,0,0,63,838409
142012,1,1,3,3,37,838410
438390,1,1,2,2,35,838411
270737,1,1,2,2,41,838412
411497,1,1,3,3,25,838413
460783,2,1,2,2,82,838414
32004,2,2,3,3,48,838415
153265,1,1,2,2,25,838416
16003,0,0,2,2,28,838417
218528,2,1,2,2,58,838418
430709,2,1,2,2,56,838419
303756,2,2,2,2,39,838420
157854,2,1,0,0,25,838421
64629,2,2,2,2,48,838422
34627,2,2,2,2,37,838423
439049,2,1,3,3,60,838424
426670,1,1,2,2,70,838425
426670,1,1,0,0,65,838426
271173,2,1,3,3,25,838427
197524,2,1,2,2,67,838428
438293,1,1,2,2,78,838429
291027,1,1,2,2,25,838430
287662,1,1,3,3,25,838431
54345,1,1,3,3,25,838432
199898,2,1,3,3,70,838433
35099,2,1,0,0,62,838434
197524,1,1,2,2,72,838435
386525,1,1,3,3,40,838436
188765,1,1,3,3,25,838437
123273,1,1,2,2,46,838438
27204,1,1,2,2,67,838439
8784,1,1,2,2,39,838440
142205,2,1,0,0,33,838441
46031,1,1,0,0,71,838442
318473,1,1,2,2,48,838443
443827,1,1,2,2,34,838444
459417,1,1,3,3,59,838445
122213,1,1,3,3,25,838446
45445,1,1,2,2,47,838447
358299,2,1,0,0,81,838448
129870,1,1,0,0,44,838449
129870,1,1,2,2,47,838450
270739,2,1,3,3,53,838451
52468,1,1,3,3,66,838452
201591,2,1,0,0,34,838453
206322,1,1,3,3,71,838454
183923,1,1,3,3,25,838455
30111,1,1,0,0,24,838456
22143,1,1,2,2,25,838457
329058,1,1,0,0,52,838458
306750,1,1,2,2,71,838459
212004,2,1,3,3,25,838460
251264,2,1,2,2,42,838461
206365,2,1,0,0,78,838462
99176,1,1,0,0,64,838463
7370,1,1,3,3,25,838464
198789,2,2,3,3,41,838465
229977,1,1,2,2,82,838466
464724,1,1,3,3,48,838467
27137,1,1,2,2,67,838468
71071,1,1,3,3,37,838469
39130,2,1,2,2,65,838470
183800,1,1,2,2,59,838471
134010,1,1,2,2,57,838472
24196,2,1,0,0,28,838473
59206,1,1,2,2,62,838474
59206,1,1,2,2,60,838475
167643,1,1,2,2,46,838476
241033,2,1,2,2,37,838477
241070,2,1,2,2,27,838478
466267,1,1,0,0,66,838479
300624,1,1,0,0,89,838480
22628,2,1,2,2,66,838481
22628,2,1,3,3,30,838482
463157,2,1,2,2,69,838483
207586,1,1,2,2,57,838484
156277,1,1,0,0,73,838485
256739,1,1,2,2,61,838486
201043,1,1,3,3,40,838487
193258,2,1,3,3,43,838488
165403,2,1,2,2,80,838489
57232,1,1,2,2,27,838490
13924,1,1,0,0,61,838491
144497,1,1,2,2,40,838492
29420,1,1,3,3,42,838493
139726,1,1,3,3,67,838494
263529,2,1,3,3,54,838495
40601,1,1,0,0,50,838496
12715,2,1,3,3,65,838497
408802,2,1,3,3,54,838498
174112,1,1,3,3,41,838499
135754,2,1,0,0,69,838500
172609,2,1,0,0,61,838501
52457,1,1,0,0,27,838502
192770,1,1,3,3,62,838503
142640,1,1,3,3,38,838504
142640,1,1,3,3,48,838505
270506,1,1,2,2,42,838506
13924,2,1,0,0,58,838507
97692,1,1,3,3,61,838508
299912,2,1,3,3,30,838509
261911,1,1,2,2,27,838510
376712,1,1,2,2,25,838511
74673,1,1,0,0,66,838512
86549,1,1,2,2,57,838513
36164,1,1,0,0,25,838514
13609,1,1,0,0,35,838515
339169,1,1,2,2,47,838516
75403,1,1,2,2,42,838517
305569,1,1,3,3,41,838518
442565,1,1,3,3,44,838519
171934,1,1,3,3,51,838520
255307,1,1,3,3,44,838521
257201,1,1,0,0,35,838522
238417,2,1,3,3,32,838523
129199,2,1,3,3,37,838524
339169,2,1,2,2,52,838525
27777,2,1,2,2,66,838526
279190,2,1,0,0,63,838527
143065,2,1,3,3,25,838528
85565,1,1,2,2,60,838529
95977,2,1,3,3,68,838530
354019,1,1,0,0,71,838531
169554,1,1,0,0,56,838532
418390,1,1,3,3,65,838533
50300,1,1,0,0,87,838534
418390,1,1,2,2,64,838535
190883,1,1,3,3,52,838536
232228,2,2,0,0,47,838537
292776,1,1,0,0,62,838538
51967,1,1,2,2,54,838539
346296,2,1,2,2,37,838540
346296,1,1,2,2,33,838541
456605,1,1,3,3,46,838542
35195,1,1,3,3,48,838543
35195,1,1,3,3,44,838544
103992,2,1,3,3,51,838545
411132,1,1,3,3,70,838546
112368,1,1,3,3,29,838547
171705,1,1,2,2,38,838548
61863,1,1,3,3,28,838549
117484,1,1,3,3,31,838550
106302,2,1,0,0,40,838551
287118,1,1,0,0,34,838552
274946,1,1,0,0,35,838553
156462,1,1,3,3,25,838554
374377,2,1,0,0,24,838555
106302,1,1,0,0,40,838556
44350,1,1,3,3,69,838557
52570,1,1,2,2,70,838558
226110,2,1,2,2,59,838559
310106,2,1,2,2,36,838560
204703,2,1,3,3,37,838561
261912,1,1,2,2,68,838562
172979,1,1,3,3,69,838563
96095,1,1,0,0,57,838564
432294,1,1,0,0,62,838565
275050,2,1,0,0,58,838566
163029,2,1,2,2,60,838567
457306,1,1,3,3,63,838568
290621,1,1,3,3,32,838569
173054,1,1,0,0,38,838570
172727,1,1,3,3,30,838571
6757,1,1,3,3,58,838572
303692,1,1,3,3,62,838573
115925,1,1,3,3,35,838574
69865,1,1,3,3,52,838575
287902,1,1,0,0,66,838576
171741,2,1,2,2,50,838577
226846,1,1,3,3,42,838578
337941,1,1,0,0,53,838579
197085,1,1,3,3,28,838580
209635,1,1,2,2,24,838581
171741,1,1,2,2,53,838582
22292,1,1,2,2,32,838583
270711,1,1,2,2,74,838584
270711,1,1,2,2,72,838585
443703,1,1,3,3,42,838586
384085,2,1,0,0,62,838587
224433,1,1,2,2,37,838588
51923,1,1,0,0,25,838589
30643,1,1,2,2,40,838590
8719,2,2,3,3,65,838591
240772,2,1,3,3,37,838592
454192,1,1,3,3,24,838593
19661,2,2,2,2,66,838594
41269,1,1,2,2,79,838595
123093,2,2,0,0,61,838596
55701,2,2,3,3,44,838597
386737,2,2,2,2,49,838598
386737,2,2,2,2,47,838599
119851,1,1,2,2,60,838600
358541,1,1,2,2,68,838601
38915,2,2,2,2,39,838602
27453,1,1,3,3,36,838603
27453,1,1,3,3,41,838604
444043,1,1,2,2,66,838605
397442,2,1,3,3,32,838606
297556,2,2,2,2,47,838607
371097,2,2,0,0,82,838608
27467,2,2,0,0,54,838609
134966,2,1,2,2,95,838610
291016,2,1,2,2,33,838611
215679,1,1,2,2,41,838612
299313,1,1,3,3,39,838613
354012,2,2,3,3,42,838614
252905,2,2,3,3,27,838615
170654,2,2,0,0,50,838616
446640,1,1,0,0,26,838617
251454,2,2,3,3,27,838618
161411,2,1,0,0,52,838619
162865,1,1,2,2,53,838620
164996,2,2,2,2,45,838621
155958,2,2,2,2,66,838622
211540,1,1,3,3,33,838623
305112,2,2,3,3,54,838624
184807,1,1,2,2,25,838625
245922,1,1,3,3,25,838626
106083,2,2,3,3,45,838627
229666,1,1,2,2,63,838628
398037,1,1,0,0,25,838629
446230,2,1,2,2,72,838630
446230,2,1,2,2,63,838631
15500,1,1,0,0,25,838632
27197,2,2,3,3,64,838633
63617,2,2,2,2,41,838634
85260,2,1,2,2,24,838635
229666,1,1,2,2,63,838636
69698,1,1,2,2,55,838637
82814,1,1,0,0,61,838638
390640,2,1,0,0,66,838639
390640,1,1,0,0,65,838640
173656,1,1,0,0,56,838641
157110,2,1,3,3,32,838642
184959,2,1,3,3,36,838643
329139,1,1,3,3,26,838644
165404,1,1,2,2,70,838645
194247,2,1,2,2,55,838646
12546,2,1,2,2,56,838647
119085,1,1,3,3,25,838648
63204,2,2,2,2,24,838649
187989,1,1,3,3,31,838650
408091,1,1,3,3,46,838651
248191,1,1,2,2,49,838652
86847,1,1,0,0,39,838653
158874,1,1,0,0,25,838654
165404,2,1,2,2,69,838655
28485,2,2,3,3,41,838656
28485,2,1,3,3,58,838657
73934,1,1,3,3,75,838658
158789,1,1,2,2,31,838659
242066,2,2,2,2,30,838660
363365,1,1,0,0,71,838661
139205,2,1,0,0,68,838662
262977,1,1,3,3,35,838663
80246,2,1,3,3,24,838664
246874,1,1,0,0,84,838665
463157,1,1,2,2,69,838666
45789,1,1,3,3,51,838667
263479,1,1,0,0,66,838668
339561,1,1,0,0,27,838669
135211,1,1,3,3,28,838670
78140,1,1,2,2,25,838671
62732,1,1,3,3,37,838672
329586,1,1,2,2,56,838673
251579,1,1,0,0,24,838674
136138,2,1,2,2,62,838675
58423,1,1,3,3,52,838676
144340,1,1,0,0,56,838677
221993,1,1,3,3,68,838678
221993,1,1,2,2,69,838679
167868,1,1,2,2,44,838680
329586,1,1,2,2,63,838681
109981,1,1,3,3,44,838682
79881,1,1,0,0,45,838683
247046,1,1,0,0,36,838684
186776,2,1,0,0,25,838685
71594,2,1,2,2,25,838686
157252,1,1,0,0,76,838687
56404,1,1,0,0,31,838688
121097,2,1,3,3,72,838689
97939,2,1,0,0,72,838690
104139,1,1,2,2,72,838691
97939,1,1,2,2,70,838692
24558,1,1,2,2,30,838693
309961,1,1,0,0,76,838694
300553,2,1,0,0,78,838695
49445,2,1,3,3,26,838696
79588,1,1,0,0,27,838697
87044,1,1,2,2,31,838698
136788,2,1,0,0,60,838699
112928,2,1,3,3,48,838700
182402,2,1,2,2,51,838701
256739,1,1,2,2,64,838702
287593,1,1,0,0,59,838703
53454,1,1,0,0,65,838704
19631,1,1,2,2,73,838705
131799,2,2,3,3,69,838706
172979,1,1,3,3,69,838707
153368,1,1,0,0,65,838708
310573,1,1,3,3,25,838709
360669,2,2,0,0,55,838710
248454,2,2,2,2,61,838711
248454,2,1,2,2,82,838712
301721,2,1,0,0,92,838713
157610,2,1,0,0,50,838714
432136,2,1,2,2,69,838715
80718,1,1,3,3,32,838716
27587,1,1,3,3,59,838717
74592,1,1,3,3,52,838718
85644,2,1,2,2,58,838719
437220,1,1,0,0,24,838720
66884,1,1,0,0,29,838721
215917,1,1,3,3,55,838722
215917,1,1,3,3,51,838723
63662,2,1,0,0,66,838724
156540,1,1,0,0,97,838725
157704,2,1,2,2,43,838726
170823,1,1,2,2,41,838727
413194,1,1,2,2,45,838728
6725,1,1,2,2,60,838729
29227,1,1,0,0,45,838730
131210,1,1,3,3,61,838731
57569,2,1,2,2,51,838732
89406,1,1,2,2,49,838733
351445,2,1,0,0,63,838734
279066,2,1,2,2,49,838735
69931,1,1,2,2,69,838736
29725,1,1,3,3,31,838737
118979,2,1,3,3,38,838738
27444,2,1,0,0,63,838739
390640,1,1,3,3,59,838740
254282,2,1,3,3,54,838741
337081,1,1,0,0,55,838742
420175,1,1,0,0,75,838743
58551,1,1,3,3,52,838744
154052,2,1,2,2,65,838745
354424,1,1,2,2,61,838746
300754,1,1,2,2,40,838747
108798,2,1,2,2,96,838748
361821,1,1,2,2,38,838749
240817,1,1,0,0,50,838750
20471,2,2,3,3,56,838751
240857,1,1,3,3,38,838752
437214,0,0,0,0,25,838753
380764,1,1,3,3,55,838754
129012,1,1,3,3,51,838755
154592,2,1,2,2,26,838756
15354,1,1,2,2,61,838757
208420,2,1,2,2,36,838758
154578,1,1,3,3,34,838759
384774,1,1,3,3,46,838760
265407,2,1,2,2,53,838761
354246,1,1,3,3,60,838762
76523,1,1,3,3,59,838763
117536,1,1,2,2,24,838764
339391,1,1,3,3,24,838765
49772,2,1,2,2,30,838766
301673,1,1,2,2,67,838767
351384,2,1,2,2,51,838768
109363,2,2,0,0,66,838769
160382,2,1,2,2,64,838770
329146,1,1,0,0,24,838771
29488,1,1,2,2,61,838772
160469,1,1,0,0,41,838773
267493,1,1,3,3,60,838774
61649,1,1,0,0,29,838775
408288,1,1,3,3,57,838776
229698,2,1,0,0,83,838777
173586,1,1,2,2,55,838778
29511,2,1,0,0,27,838779
453561,2,1,2,2,52,838780
265789,1,1,3,3,69,838781
126063,1,1,2,2,54,838782
242377,2,1,3,3,30,838783
28246,2,1,2,2,29,838784
229698,2,1,0,0,87,838785
18606,2,1,3,3,58,838786
299049,2,1,3,3,25,838787
94422,1,1,3,3,36,838788
219813,2,1,3,3,53,838789
413649,1,1,2,2,33,838790
261205,1,1,3,3,26,838791
356610,2,1,2,2,31,838792
356610,1,1,2,2,57,838793
305421,1,1,0,0,63,838794
257662,1,1,3,3,79,838795
367121,1,1,2,2,26,838796
79782,1,1,2,2,42,838797
67638,2,1,3,3,32,838798
146102,1,1,2,2,24,838799
329420,1,1,0,0,71,838800
42236,1,1,2,2,54,838801
22628,2,1,2,2,72,838802
305421,1,1,2,2,71,838803
125535,1,1,3,3,51,838804
24954,1,1,3,3,70,838805
24954,1,1,3,3,69,838806
83109,1,1,3,3,25,838807
222309,1,1,2,2,73,838808
222309,1,1,2,2,74,838809
413064,1,1,2,2,50,838810
160756,1,1,0,0,61,838811
355656,1,1,2,2,69,838812
72064,1,1,2,2,41,838813
463125,1,1,0,0,68,838814
463125,1,1,3,3,68,838815
245796,0,0,0,0,63,838816
378209,1,1,3,3,24,838817
112213,1,1,3,3,35,838818
162518,1,1,0,0,70,838819
162518,1,1,2,2,75,838820
163005,1,1,3,3,51,838821
17819,1,1,3,3,30,838822
174093,1,1,2,2,65,838823
278468,2,1,3,3,24,838824
75512,2,1,2,2,31,838825
218537,2,1,3,3,26,838826
298999,1,1,0,0,53,838827
298999,2,1,0,0,54,838828
15558,1,1,3,3,69,838829
230089,1,1,3,3,24,838830
248259,2,2,2,2,63,838831
245938,1,1,3,3,45,838832
168184,1,1,2,2,62,838833
154293,2,1,3,3,31,838834
257010,1,1,3,3,35,838835
197200,2,1,2,2,63,838836
200995,1,1,3,3,41,838837
96981,1,1,2,2,27,838838
252016,1,1,3,3,70,838839
346544,1,1,2,2,81,838840
11346,2,1,0,0,70,838841
24403,1,1,2,2,28,838842
45544,1,1,3,3,25,838843
140071,2,1,3,3,82,838844
15947,1,1,0,0,33,838845
197200,1,1,2,2,64,838846
43673,2,1,0,0,25,838847
22967,1,1,2,2,62,838848
172046,1,1,2,2,39,838849
93323,1,1,0,0,25,838850
134592,1,1,2,2,43,838851
85565,1,1,2,2,60,838852
134592,2,2,3,3,39,838853
193132,2,1,0,0,26,838854
381244,1,1,3,3,32,838855
98693,1,1,0,0,32,838856
19330,1,1,2,2,51,838857
10850,1,1,3,3,51,838858
70041,2,1,0,0,71,838859
240801,2,1,0,0,83,838860
143703,2,1,2,2,43,838861
129943,1,1,2,2,30,838862
62410,1,1,2,2,24,838863
66837,2,2,2,2,68,838864
38883,1,1,3,3,32,838865
326574,2,1,3,3,25,838866
162464,2,1,2,2,80,838867
76249,1,1,0,0,68,838868
76249,1,1,0,0,65,838869
263541,1,1,3,3,42,838870
422206,1,1,3,3,65,838871
171857,1,1,0,0,80,838872
453414,1,1,3,3,45,838873
95708,2,1,0,0,25,838874
45489,2,1,3,3,58,838875
45489,2,1,2,2,65,838876
50219,1,1,2,2,59,838877
191189,1,1,0,0,67,838878
154093,1,1,0,0,68,838879
278578,2,1,3,3,66,838880
13182,2,1,2,2,47,838881
325616,1,1,0,0,76,838882
250054,1,1,2,2,26,838883
298379,1,1,3,3,24,838884
83156,2,1,2,2,66,838885
164799,1,1,3,3,30,838886
167868,1,1,2,2,47,838887
253485,1,1,0,0,61,838888
184111,1,1,3,3,59,838889
11739,1,1,2,2,47,838890
242376,1,1,2,2,64,838891
200986,1,1,3,3,62,838892
87044,2,1,2,2,34,838893
38860,1,1,2,2,56,838894
179913,1,1,3,3,25,838895
27444,1,1,3,3,64,838896
87792,2,2,3,3,34,838897
125854,2,1,2,2,41,838898
219164,2,1,2,2,47,838899
252906,1,1,0,0,26,838900
314280,2,1,2,2,49,838901
153099,1,1,0,0,89,838902
55315,1,1,2,2,56,838903
104414,1,1,0,0,71,838904
11696,1,1,2,2,26,838905
246321,2,2,3,3,45,838906
354024,2,1,0,0,30,838907
318152,2,1,2,2,41,838908
158935,2,1,3,3,41,838909
94422,1,1,3,3,38,838910
30926,1,1,0,0,77,838911
8209,1,1,0,0,78,838912
50229,1,1,2,2,69,838913
340772,2,1,2,2,51,838914
356204,1,1,2,2,51,838915
308870,2,1,0,0,24,838916
57221,2,1,2,2,79,838917
57221,1,1,2,2,79,838918
16542,1,1,2,2,41,838919
154765,1,1,3,3,42,838920
68580,1,1,0,0,49,838921
190120,2,1,0,0,24,838922
337872,2,1,2,2,26,838923
10523,2,1,2,2,64,838924
91100,2,2,0,0,64,838925
249303,1,1,2,2,61,838926
286734,1,1,3,3,42,838927
58447,1,1,0,0,73,838928
158462,1,1,3,3,43,838929
158462,1,1,2,2,42,838930
363580,1,1,2,2,26,838931
439926,1,1,3,3,24,838932
422293,1,1,2,2,24,838933
154148,1,1,3,3,82,838934
381701,1,1,3,3,36,838935
257038,1,1,2,2,36,838936
196492,1,1,0,0,97,838937
264017,2,1,3,3,25,838938
397649,1,1,2,2,24,838939
299444,2,2,2,2,24,838940
403837,1,1,3,3,25,838941
301203,2,2,3,3,25,838942
382560,2,1,2,2,24,838943
348081,1,1,3,3,36,838944
296556,1,1,0,0,24,838945
347428,1,1,2,2,25,838946
196492,1,1,0,0,97,838947
377910,2,1,3,3,45,838948
377910,2,2,3,3,53,838949
420175,2,1,0,0,86,838950
84348,2,1,3,3,51,838951
218136,1,1,0,0,31,838952
169844,2,2,2,2,77,838953
169844,2,2,2,2,75,838954
245075,1,1,0,0,88,838955
