E,F,G,H,I,J,K
134326,1,1,3,3,71,1
227799,1,1,3,3,28,1
28440,2,1,2,2,76,2
130602,2,1,0,0,63,2
115478,1,1,0,0,64,1
115478,1,1,3,3,69,1
105120,1,1,2,3,51,1
105113,1,1,2,2,64,1
240855,2,1,1,2,42,2
240855,1,1,1,2,44,1
28443,2,2,2,2,30,2
67445,2,2,2,3,57,2
307209,2,1,1,2,55,2
79042,2,2,2,3,52,2
191552,2,1,1,2,65,2
305701,1,1,3,3,29,1
146654,2,1,2,2,25,2
381707,1,1,3,3,48,1
414717,1,1,3,3,29,1
446404,1,1,3,3,71,1
99187,1,1,1,2,55,1
327398,1,1,1,2,45,1
266787,1,1,1,2,25,1
28527,1,1,3,3,32,1
61260,1,1,3,3,27,1
208184,1,1,1,2,28,1
156440,2,1,2,2,77,2
63651,1,1,0,0,39,1
438155,1,1,0,0,73,1
42404,1,1,3,3,75,1
42404,2,1,2,3,68,2
300561,1,1,0,0,62,1
303782,1,1,2,2,31,1
323944,2,1,3,3,27,2
365267,1,1,2,2,42,1
98795,1,1,2,2,74,1
320258,2,1,1,2,44,2
401996,1,1,1,2,52,1
105050,2,1,2,3,79,2
32082,1,1,2,3,38,1
157108,1,1,0,0,25,1
92766,1,1,1,2,47,1
464278,1,1,0,0,86,1
348343,1,1,0,0,86,1
368005,1,1,2,3,62,1
114856,1,1,3,3,25,1
451298,2,1,0,0,92,2
456136,1,1,2,2,52,1
326574,2,1,1,2,48,2
15598,2,1,0,0,53,2
252914,1,1,2,2,51,1
85412,1,1,3,3,28,1
320258,1,1,2,2,38,1
383434,1,1,2,3,36,1
289690,1,1,0,0,35,1
28443,1,1,3,3,49,1
442254,1,1,1,2,66,1
89270,1,1,2,2,57,1
274699,2,1,2,3,27,2
257205,1,1,1,2,25,1
348101,2,2,1,2,82,2
87735,2,2,3,3,43,2
78145,2,2,0,0,71,2
78145,2,2,0,0,82,2
352375,2,2,3,3,56,2
191553,1,1,1,2,67,1
454092,2,2,2,2,62,2
74245,2,2,2,2,65,2
74109,1,1,3,3,44,1
74245,2,2,1,2,58,2
34237,1,1,2,3,34,1
310059,2,1,0,0,79,2
95977,1,1,3,3,70,1
56114,1,1,0,0,67,1
169541,2,1,1,2,25,2
79269,1,1,1,2,25,1
362298,2,2,0,0,66,2
29559,1,1,2,2,49,1
30933,1,1,2,3,50,1
305423,1,1,0,0,80,1
79734,2,1,3,3,85,2
25351,2,1,0,0,47,2
25351,2,2,0,0,57,2
120441,1,1,3,3,61,1
169909,1,1,2,2,50,1
298300,2,1,3,3,53,2
64412,2,1,1,2,47,2
107577,2,1,2,3,33,2
291028,1,1,0,0,99,1
115925,1,1,2,3,37,1
98648,1,1,3,3,45,1
167512,2,2,1,2,45,2
216503,2,2,1,2,25,2
334027,2,1,2,3,36,2
452500,1,1,0,0,26,1
212238,1,1,2,2,25,1
430722,1,1,2,2,25,1
18657,2,1,0,0,87,2
329073,1,1,2,3,28,1
128190,1,1,2,3,54,1
20058,1,1,2,2,54,1
10618,1,1,0,0,25,1
397536,1,1,3,3,53,1
57168,2,1,3,3,80,2
14527,1,1,2,3,62,1
326271,1,1,3,3,45,1
287086,2,1,2,3,25,2
95040,2,1,1,2,65,2
279190,1,1,3,3,61,1
408018,1,1,0,0,50,1
22203,1,1,1,2,63,1
132184,2,1,0,0,62,2
310059,1,1,0,0,78,1
340276,2,1,3,3,37,2
66636,2,2,2,2,25,2
459299,2,2,2,3,25,2
413643,2,1,2,3,26,2
222618,1,1,3,3,63,1
164757,1,1,0,0,43,1
10305,2,2,2,2,53,2
19409,2,2,2,3,72,2
10338,2,1,0,0,76,2
251503,2,1,1,2,84,2
76056,2,1,2,2,72,2
76056,1,1,2,2,72,1
79734,2,1,3,3,82,2
124978,2,2,2,3,71,2
124978,2,2,3,3,61,2
335927,2,1,2,3,61,2
10338,1,1,0,0,83,1
274946,2,2,0,0,34,2
354695,2,2,0,0,38,2
305894,0,0,2,3,47,0
129199,1,1,2,3,54,1
94903,2,2,2,2,70,2
42470,1,1,0,0,32,1
8643,1,1,1,2,44,1
46419,2,1,2,2,32,2
230453,2,1,2,2,42,2
326031,2,1,2,2,44,2
28188,1,1,2,2,40,1
355483,2,2,2,2,44,2
263913,2,2,1,2,56,2
125471,1,1,0,0,54,1
34624,2,1,0,0,63,2
254958,1,1,1,2,47,1
28170,2,1,2,2,50,2
418044,1,1,1,2,41,1
270727,2,2,0,0,98,2
333015,2,1,1,2,36,2
333015,1,1,1,1,33,1
270727,2,2,0,0,89,2
27315,2,1,0,0,59,2
101142,2,1,0,0,49,2
168164,1,1,0,0,76,1
14063,2,1,1,2,37,2
7415,1,1,0,0,49,1
242145,2,1,2,3,32,2
153485,1,1,2,3,52,1
336730,1,1,1,2,57,1
126284,1,1,2,2,57,1
273620,2,1,1,2,74,2
79974,2,1,2,3,32,2
423902,2,2,0,0,40,2
454968,2,2,0,0,56,2
25709,2,2,1,2,55,2
131758,1,1,2,2,66,1
131758,2,1,2,2,69,2
24611,1,1,1,2,46,1
24611,1,1,1,2,47,1
75426,1,1,3,3,41,1
182402,1,1,2,2,49,1
354030,2,1,0,0,42,2
104229,2,1,3,3,25,2
260582,1,1,0,0,70,1
224858,1,1,1,2,65,1
224858,2,2,2,2,67,2
339686,1,1,0,0,30,1
18506,1,1,3,3,28,1
57222,2,1,2,3,42,2
315115,2,2,2,3,48,2
116634,2,1,1,2,29,2
161804,2,1,1,2,46,2
171731,2,2,1,2,25,2
22814,1,1,2,3,41,1
22814,1,1,0,0,41,1
314280,1,1,1,2,52,1
135258,1,1,1,2,43,1
28046,2,2,1,2,58,2
71428,1,1,2,2,57,1
352325,2,1,2,3,91,2
224334,2,1,2,2,35,2
155079,2,1,1,2,34,2
243555,1,1,3,3,52,1
39877,1,1,2,2,34,1
29969,1,1,2,3,61,1
278414,2,2,0,0,28,2
139726,1,1,0,0,66,1
68646,1,1,1,2,42,1
201013,1,1,3,3,25,1
304899,1,1,2,3,67,1
300636,1,1,0,0,96,1
299038,1,1,0,0,42,1
30020,1,1,2,2,48,1
81384,2,1,3,3,60,2
218528,2,1,1,2,59,2
22955,1,1,0,0,67,1
432492,2,1,0,0,59,2
42236,1,1,0,0,48,1
252605,2,2,2,2,51,2
382086,1,1,2,2,71,1
426449,1,1,2,2,25,1
242133,1,1,0,0,30,1
453349,1,1,0,0,42,1
65444,1,1,1,2,30,1
25085,2,1,3,3,69,2
39636,1,1,2,2,52,1
61722,2,2,2,2,51,2
380764,1,1,0,0,63,1
142012,1,1,3,3,37,1
438390,1,1,1,2,35,1
270737,1,1,2,2,41,1
411497,1,1,3,3,25,1
460783,2,1,2,2,82,2
32004,2,2,3,3,48,2
153265,1,1,2,2,25,1
16003,0,0,1,2,28,0
218528,2,1,2,2,58,2
430709,2,1,2,2,56,2
303756,2,2,2,2,39,2
157854,2,1,0,0,25,2
64629,2,2,2,2,48,2
34627,2,2,1,2,37,2
439049,2,1,2,3,60,2
426670,1,1,2,2,70,1
426670,1,1,0,0,65,1
271173,2,1,3,3,25,2
197524,2,1,1,2,67,2
438293,1,1,1,2,78,1
291027,1,1,2,2,25,1
287662,1,1,3,3,25,1
54345,1,1,3,3,25,1
199898,2,1,3,3,70,2
35099,2,1,0,0,62,2
197524,1,1,2,2,72,1
386525,1,1,3,3,40,1
188765,1,1,2,3,25,1
123273,1,1,2,2,46,1
27204,1,1,2,2,67,1
8784,1,1,2,2,39,1
142205,2,1,0,0,33,2
46031,1,1,0,0,71,1
318473,1,1,1,2,48,1
443827,1,1,1,2,34,1
459417,1,1,3,3,59,1
122213,1,1,2,3,25,1
45445,1,1,1,2,47,1
358299,2,1,0,0,81,2
129870,1,1,0,0,44,1
129870,1,1,2,2,47,1
270739,2,1,2,3,53,2
52468,1,1,2,3,66,1
201591,2,1,0,0,34,2
206322,1,1,2,3,71,1
183923,1,1,3,3,25,1
30111,1,1,0,0,24,1
22143,1,1,2,2,25,1
329058,1,1,0,0,52,1
306750,1,1,2,2,71,1
212004,2,1,2,3,25,2
251264,2,1,1,2,42,2
206365,2,1,0,0,78,2
99176,1,1,0,0,64,1
7370,1,1,3,3,25,1
198789,2,2,3,3,41,2
229977,1,1,2,2,82,1
464724,1,1,2,3,48,1
27137,1,1,2,2,67,1
71071,1,1,2,3,37,1
39130,2,1,1,2,65,2
183800,1,1,2,2,59,1
134010,1,1,2,2,57,1
24196,2,1,0,0,28,2
59206,1,1,2,2,62,1
59206,1,1,1,2,60,1
167643,1,1,2,2,46,1
241033,2,1,1,2,37,2
241070,2,1,2,2,27,2
466267,1,1,0,0,66,1
300624,1,1,0,0,89,1
22628,2,1,2,2,66,2
22628,2,1,3,3,30,2
463157,2,1,1,2,69,2
207586,1,1,1,2,57,1
156277,1,1,0,0,73,1
256739,1,1,2,2,61,1
201043,1,1,3,3,40,1
193258,2,1,2,3,43,2
165403,2,1,2,2,80,2
57232,1,1,1,2,27,1
13924,1,1,0,0,61,1
144497,1,1,2,2,40,1
29420,1,1,3,3,42,1
139726,1,1,2,3,67,1
263529,2,1,3,3,54,2
40601,1,1,0,0,50,1
12715,2,1,2,3,65,2
408802,2,1,3,3,54,2
174112,1,1,2,3,41,1
135754,2,1,0,0,69,2
172609,2,1,0,0,61,2
52457,1,1,0,0,27,1
192770,1,1,3,3,62,1
142640,1,1,3,3,38,1
142640,1,1,3,3,48,1
270506,1,1,2,2,42,1
13924,2,1,0,0,58,2
97692,1,1,2,3,61,1
299912,2,1,3,3,30,2
261911,1,1,2,2,27,1
376712,1,1,1,2,25,1
74673,1,1,0,0,66,1
86549,1,1,2,2,57,1
36164,1,1,0,0,25,1
13609,1,1,0,0,35,1
339169,1,1,1,2,47,1
75403,1,1,1,2,42,1
305569,1,1,3,3,41,1
442565,1,1,3,3,44,1
171934,1,1,2,3,51,1
255307,1,1,3,3,44,1
257201,1,1,0,0,35,1
238417,2,1,2,3,32,2
129199,2,1,2,3,37,2
339169,2,1,1,2,52,2
27777,2,1,1,2,66,2
279190,2,1,0,0,63,2
143065,2,1,3,3,25,2
85565,1,1,1,2,60,1
95977,2,1,3,3,68,2
354019,1,1,0,0,71,1
169554,1,1,0,0,56,1
418390,1,1,2,3,65,1
50300,1,1,0,0,87,1
418390,1,1,2,2,64,1
190883,1,1,2,3,52,1
232228,2,2,0,0,47,2
292776,1,1,0,0,62,1
51967,1,1,1,2,54,1
346296,2,1,2,2,37,2
346296,1,1,1,2,33,1
456605,1,1,3,3,46,1
35195,1,1,2,3,48,1
35195,1,1,2,3,44,1
103992,2,1,3,3,51,2
411132,1,1,3,3,70,1
112368,1,1,2,3,29,1
171705,1,1,2,2,38,1
61863,1,1,2,3,28,1
117484,1,1,2,3,31,1
106302,2,1,0,0,40,2
287118,1,1,0,0,34,1
274946,1,1,0,0,35,1
156462,1,1,3,3,25,1
374377,2,1,0,0,24,2
106302,1,1,0,0,40,1
44350,1,1,3,3,69,1
52570,1,1,1,2,70,1
226110,2,1,2,2,59,2
310106,2,1,2,2,36,2
204703,2,1,3,3,37,2
261912,1,1,1,2,68,1
172979,1,1,3,3,69,1
96095,1,1,0,0,57,1
432294,1,1,0,0,62,1
275050,2,1,0,0,58,2
163029,2,1,2,2,60,2
457306,1,1,2,3,63,1
290621,1,1,3,3,32,1
173054,1,1,0,0,38,1
172727,1,1,2,3,30,1
6757,1,1,2,3,58,1
303692,1,1,3,3,62,1
115925,1,1,3,3,35,1
69865,1,1,3,3,52,1
287902,1,1,0,0,66,1
171741,2,1,2,2,50,2
226846,1,1,3,3,42,1
337941,1,1,0,0,53,1
197085,1,1,3,3,28,1
209635,1,1,2,2,24,1
171741,1,1,2,2,53,1
22292,1,1,1,2,32,1
270711,1,1,2,2,74,1
270711,1,1,1,2,72,1
443703,1,1,3,3,42,1
384085,2,1,0,0,62,2
224433,1,1,1,2,37,1
51923,1,1,0,0,25,1
30643,1,1,1,2,40,1
8719,2,2,3,3,65,2
240772,2,1,3,3,37,2
454192,1,1,3,3,24,1
19661,2,2,1,2,66,2
41269,1,1,2,2,79,1
123093,2,2,0,0,61,2
55701,2,2,2,3,44,2
386737,2,2,1,2,49,2
386737,2,2,1,2,47,2
119851,1,1,1,2,60,1
358541,1,1,1,2,68,1
38915,2,2,2,2,39,2
27453,1,1,2,3,36,1
27453,1,1,2,3,41,1
444043,1,1,2,2,66,1
397442,2,1,2,3,32,2
297556,2,2,2,2,47,2
371097,2,2,0,0,82,2
27467,2,2,0,0,54,2
134966,2,1,2,2,95,2
291016,2,1,1,2,33,2
215679,1,1,2,2,41,1
299313,1,1,2,3,39,1
354012,2,2,3,3,42,2
252905,2,2,2,3,27,2
170654,2,2,0,0,50,2
446640,1,1,0,0,26,1
251454,2,2,3,3,27,2
161411,2,1,0,0,52,2
162865,1,1,2,2,53,1
164996,2,2,2,2,45,2
155958,2,2,1,2,66,2
211540,1,1,2,3,33,1
305112,2,2,3,3,54,2
184807,1,1,2,2,25,1
245922,1,1,2,3,25,1
106083,2,2,3,3,45,2
229666,1,1,2,2,63,1
398037,1,1,0,0,25,1
446230,2,1,2,2,72,2
446230,2,1,2,2,63,2
15500,1,1,0,0,25,1
27197,2,2,2,3,64,2
63617,2,2,2,2,41,2
85260,2,1,2,2,24,2
229666,1,1,2,2,63,1
69698,1,1,2,2,55,1
82814,1,1,0,0,61,1
390640,2,1,0,0,66,2
390640,1,1,0,0,65,1
173656,1,1,0,0,56,1
157110,2,1,3,3,32,2
184959,2,1,3,3,36,2
329139,1,1,3,3,26,1
165404,1,1,1,2,70,1
194247,2,1,1,2,55,2
12546,2,1,2,2,56,2
119085,1,1,2,3,25,1
63204,2,2,2,2,24,2
187989,1,1,3,3,31,1
408091,1,1,2,3,46,1
248191,1,1,1,2,49,1
86847,1,1,0,0,39,1
158874,1,1,0,0,25,1
165404,2,1,1,2,69,2
28485,2,2,3,3,41,2
28485,2,1,3,3,58,2
73934,1,1,3,3,75,1
158789,1,1,2,2,31,1
242066,2,2,1,2,30,2
363365,1,1,0,0,71,1
139205,2,1,0,0,68,2
262977,1,1,2,3,35,1
80246,2,1,3,3,24,2
246874,1,1,0,0,84,1
463157,1,1,2,2,69,1
45789,1,1,2,3,51,1
263479,1,1,0,0,66,1
339561,1,1,0,0,27,1
135211,1,1,3,3,28,1
78140,1,1,2,2,25,1
62732,1,1,3,3,37,1
329586,1,1,2,2,56,1
251579,1,1,0,0,24,1
136138,2,1,2,2,62,2
58423,1,1,2,3,52,1
144340,1,1,0,0,56,1
221993,1,1,2,3,68,1
221993,1,1,2,2,69,1
167868,1,1,2,2,44,1
329586,1,1,2,2,63,1
109981,1,1,3,3,44,1
79881,1,1,0,0,45,1
247046,1,1,0,0,36,1
186776,2,1,0,0,25,2
71594,2,1,2,2,25,2
157252,1,1,0,0,76,1
56404,1,1,0,0,31,1
121097,2,1,3,3,72,2
97939,2,1,0,0,72,2
104139,1,1,2,2,72,1
97939,1,1,2,2,70,1
24558,1,1,2,2,30,1
309961,1,1,0,0,76,1
300553,2,1,0,0,78,2
49445,2,1,3,3,26,2
79588,1,1,0,0,27,1
87044,1,1,2,2,31,1
136788,2,1,0,0,60,2
112928,2,1,3,3,48,2
182402,2,1,2,2,51,2
256739,1,1,1,2,64,1
287593,1,1,0,0,59,1
53454,1,1,0,0,65,1
19631,1,1,2,2,73,1
131799,2,2,2,3,69,2
172979,1,1,3,3,69,1
153368,1,1,0,0,65,1
310573,1,1,2,3,25,1
360669,2,2,0,0,55,2
248454,2,2,2,2,61,2
248454,2,1,1,2,82,2
301721,2,1,0,0,92,2
157610,2,1,0,0,50,2
432136,2,1,1,2,69,2
80718,1,1,2,3,32,1
27587,1,1,2,3,59,1
74592,1,1,3,3,52,1
85644,2,1,1,2,58,2
437220,1,1,0,0,24,1
66884,1,1,0,0,29,1
215917,1,1,2,3,55,1
215917,1,1,2,3,51,1
63662,2,1,0,0,66,2
156540,1,1,0,0,97,1
157704,2,1,1,2,43,2
170823,1,1,2,2,41,1
413194,1,1,1,2,45,1
6725,1,1,2,2,60,1
29227,1,1,0,0,45,1
131210,1,1,2,3,61,1
57569,2,1,2,2,51,2
89406,1,1,1,2,49,1
351445,2,1,0,0,63,2
279066,2,1,2,2,49,2
69931,1,1,2,2,69,1
29725,1,1,2,3,31,1
118979,2,1,3,3,38,2
27444,2,1,0,0,63,2
390640,1,1,2,3,59,1
254282,2,1,3,3,54,2
337081,1,1,0,0,55,1
420175,1,1,0,0,75,1
58551,1,1,3,3,52,1
154052,2,1,2,2,65,2
354424,1,1,2,2,61,1
300754,1,1,2,2,40,1
108798,2,1,1,2,96,2
361821,1,1,1,2,38,1
240817,1,1,0,0,50,1
20471,2,2,2,3,56,2
240857,1,1,3,3,38,1
437214,0,0,0,0,25,0
380764,1,1,2,3,55,1
129012,1,1,2,3,51,1
154592,2,1,1,2,26,2
15354,1,1,1,2,61,1
208420,2,1,1,2,36,2
154578,1,1,2,3,34,1
384774,1,1,2,3,46,1
265407,2,1,2,2,53,2
354246,1,1,2,3,60,1
76523,1,1,2,3,59,1
117536,1,1,2,2,24,1
339391,1,1,2,3,24,1
49772,2,1,2,2,30,2
301673,1,1,2,2,67,1
351384,2,1,1,2,51,2
109363,2,2,0,0,66,2
160382,2,1,2,2,64,2
329146,1,1,0,0,24,1
29488,1,1,2,2,61,1
160469,1,1,0,0,41,1
267493,1,1,2,3,60,1
61649,1,1,0,0,29,1
408288,1,1,2,3,57,1
229698,2,1,0,0,83,2
173586,1,1,1,2,55,1
29511,2,1,0,0,27,2
453561,2,1,2,2,52,2
265789,1,1,2,3,69,1
126063,1,1,2,2,54,1
242377,2,1,2,3,30,2
28246,2,1,1,2,29,2
229698,2,1,0,0,87,2
18606,2,1,3,3,58,2
299049,2,1,3,3,25,2
94422,1,1,3,3,36,1
219813,2,1,2,3,53,2
413649,1,1,2,2,33,1
261205,1,1,3,3,26,1
356610,2,1,1,2,31,2
356610,1,1,2,2,57,1
305421,1,1,0,0,63,1
257662,1,1,3,3,79,1
367121,1,1,2,2,26,1
79782,1,1,1,2,42,1
67638,2,1,3,3,32,2
146102,1,1,1,2,24,1
329420,1,1,0,0,71,1
42236,1,1,2,2,54,1
22628,2,1,2,2,72,2
305421,1,1,2,2,71,1
125535,1,1,3,3,51,1
24954,1,1,2,3,70,1
24954,1,1,2,3,69,1
83109,1,1,3,3,25,1
222309,1,1,1,2,73,1
222309,1,1,2,2,74,1
413064,1,1,2,2,50,1
160756,1,1,0,0,61,1
355656,1,1,1,2,69,1
72064,1,1,2,2,41,1
463125,1,1,0,0,68,1
463125,1,1,3,3,68,1
245796,0,0,0,0,63,0
378209,1,1,2,3,24,1
112213,1,1,3,3,35,1
162518,1,1,0,0,70,1
162518,1,1,2,2,75,1
163005,1,1,2,3,51,1
17819,1,1,3,3,30,1
174093,1,1,2,2,65,1
278468,2,1,3,3,24,2
75512,2,1,2,2,31,2
218537,2,1,3,3,26,2
298999,1,1,0,0,53,1
298999,2,1,0,0,54,2
15558,1,1,2,3,69,1
230089,1,1,3,3,24,1
248259,2,2,2,2,63,2
245938,1,1,2,3,45,1
168184,1,1,1,2,62,1
154293,2,1,3,3,31,2
257010,1,1,3,3,35,1
197200,2,1,2,2,63,2
200995,1,1,3,3,41,1
96981,1,1,2,2,27,1
252016,1,1,3,3,70,1
346544,1,1,1,2,81,1
11346,2,1,0,0,70,2
24403,1,1,2,2,28,1
45544,1,1,2,3,25,1
140071,2,1,3,3,82,2
15947,1,1,0,0,33,1
197200,1,1,2,2,64,1
43673,2,1,0,0,25,2
22967,1,1,1,2,62,1
172046,1,1,2,2,39,1
93323,1,1,0,0,25,1
134592,1,1,2,2,43,1
85565,1,1,1,2,60,1
134592,2,2,2,3,39,2
193132,2,1,0,0,26,2
381244,1,1,2,3,32,1
98693,1,1,0,0,32,1
19330,1,1,2,2,51,1
10850,1,1,3,3,51,1
70041,2,1,0,0,71,2
240801,2,1,0,0,83,2
143703,2,1,2,2,43,2
129943,1,1,1,2,30,1
62410,1,1,2,2,24,1
66837,2,2,2,2,68,2
38883,1,1,3,3,32,1
326574,2,1,3,3,25,2
162464,2,1,2,2,80,2
76249,1,1,0,0,68,1
76249,1,1,0,0,65,1
263541,1,1,3,3,42,1
422206,1,1,3,3,65,1
171857,1,1,0,0,80,1
453414,1,1,2,3,45,1
95708,2,1,0,0,25,2
45489,2,1,2,3,58,2
45489,2,1,1,2,65,2
50219,1,1,2,2,59,1
191189,1,1,0,0,67,1
154093,1,1,0,0,68,1
278578,2,1,3,3,66,2
13182,2,1,1,2,47,2
325616,1,1,0,0,76,1
250054,1,1,1,2,26,1
298379,1,1,3,3,24,1
83156,2,1,1,2,66,2
164799,1,1,3,3,30,1
167868,1,1,2,2,47,1
253485,1,1,0,0,61,1
184111,1,1,2,3,59,1
11739,1,1,2,2,47,1
242376,1,1,2,2,64,1
200986,1,1,2,3,62,1
87044,2,1,2,2,34,2
38860,1,1,2,2,56,1
179913,1,1,3,3,25,1
27444,1,1,3,3,64,1
87792,2,2,3,3,34,2
125854,2,1,2,2,41,2
219164,2,1,2,2,47,2
252906,1,1,0,0,26,1
314280,2,1,2,2,49,2
153099,1,1,0,0,89,1
55315,1,1,1,2,56,1
104414,1,1,0,0,71,1
11696,1,1,1,2,26,1
246321,2,2,3,3,45,2
354024,2,1,0,0,30,2
318152,2,1,2,2,41,2
158935,2,1,2,3,41,2
94422,1,1,3,3,38,1
30926,1,1,0,0,77,1
8209,1,1,0,0,78,1
50229,1,1,2,2,69,1
340772,2,1,2,2,51,2
356204,1,1,1,2,51,1
308870,2,1,0,0,24,2
57221,2,1,2,2,79,2
57221,1,1,1,2,79,1
16542,1,1,2,2,41,1
154765,1,1,3,3,42,1
68580,1,1,0,0,49,1
190120,2,1,0,0,24,2
337872,2,1,2,2,26,2
10523,2,1,1,2,64,2
91100,2,2,0,0,64,2
249303,1,1,2,2,61,1
286734,1,1,3,3,42,1
58447,1,1,0,0,73,1
158462,1,1,3,3,43,1
158462,1,1,2,2,42,1
363580,1,1,2,2,26,1
439926,1,1,2,3,24,1
422293,1,1,1,2,24,1
154148,1,1,3,3,82,1
381701,1,1,3,3,36,1
257038,1,1,1,2,36,1
196492,1,1,0,0,97,1
264017,2,1,3,3,25,2
397649,1,1,2,2,24,1
299444,2,2,2,2,24,2
403837,1,1,3,3,25,1
301203,2,2,3,3,25,2
382560,2,1,2,2,24,2
348081,1,1,3,3,36,1
296556,1,1,0,0,24,1
347428,1,1,2,2,25,1
196492,1,1,0,0,97,1
377910,2,1,2,3,45,2
377910,2,2,3,3,53,2
420175,2,1,0,0,86,2
84348,2,1,3,3,51,2
218136,1,1,0,0,31,1
169844,2,2,2,2,77,2
169844,2,2,2,2,75,2
245075,1,1,0,0,88,1
245075,1,1,0,0,83,1
9603,1,1,0,0,63,1
296402,2,2,0,0,36,2
168061,2,2,2,3,25,2
352343,2,1,0,0,25,2
164824,1,1,2,2,25,1
162464,1,1,2,2,82,1
205543,2,1,2,3,27,2
296310,2,1,2,2,42,2
55976,2,2,2,3,32,2
197727,1,1,2,2,25,1
167370,2,2,1,2,49,2
74222,1,1,2,2,69,1
74222,1,1,2,2,71,1
97994,1,1,2,2,31,1
242052,2,2,2,2,62,2
445010,2,2,3,3,81,2
347120,1,1,0,0,34,1
350110,1,1,1,2,31,1
432136,1,1,2,2,69,1
154093,2,1,0,0,77,2
362172,1,1,2,3,56,1
353913,1,1,0,0,61,1
112213,1,1,3,3,46,1
238550,1,1,2,2,40,1
408087,1,1,0,0,38,1
447050,2,1,2,3,24,2
453536,2,1,2,3,60,2
16522,1,1,1,2,67,1
75343,2,1,2,2,73,2
257724,1,1,2,2,24,1
367786,1,1,0,0,58,1
249319,2,1,2,2,24,2
155913,1,1,2,2,24,1
339685,1,1,3,3,62,1
170611,1,1,0,0,51,1
191407,1,1,0,0,61,1
184089,1,1,2,3,66,1
451498,1,1,3,3,76,1
278556,1,1,1,2,46,1
58447,1,1,0,0,69,1
426440,2,1,2,2,61,2
28179,1,1,2,3,37,1
58423,1,1,3,3,42,1
183865,1,1,2,2,61,1
64802,1,1,1,2,50,1
349832,1,1,0,0,59,1
437570,1,1,0,0,63,1
437570,2,1,0,0,62,2
133883,1,1,2,2,24,1
296887,1,1,2,2,30,1
451810,2,1,3,3,29,2
163120,1,1,2,2,42,1
167377,1,1,3,3,25,1
364136,1,1,2,2,37,1
157046,1,1,2,2,66,1
204333,2,1,0,0,70,2
381261,1,1,0,0,88,1
